waterBodyCategory	eeaIndicator	countryCode	monitoringSiteIdentifier	seriesSpan	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
LW	Total phosphorus	FI	FISW_36	long		0.003			0.006				0.003		0.002	0.003	0.004	0.005	0.002	0.003	0.002	0.0023	0.0024	0.0022	0.0024	0.0018	0.0016	0.001875	0.00272	0.0034	0.0015
LW	Total phosphorus	FI	FISW_40	short				0.003					0.004	0.005	0.004		0.004	0.005	0.003	0.003	0.0033	0.0038	0.0036	0.0026	0.0028	0.0044	0.0028	0.0041	0.004675	0.0049	0.0015
LW	Total phosphorus	FI	FISW_401	long		0.009	0.011		0.011	0.012	0.009	0.013	0.01	0.012	0.011	0.008	0.012	0.012	0.01	0.014	0.0138	0.0117	0.012	0.011	0.0105	0.0108	0.0124	0.0105	0.011	0.011	0.01175
LW	Total phosphorus	FI	FISW_403	long		0.078	0.083	0.083		0.115	0.077		0.089	0.089	0.145	0.083	0.081	0.122	0.114	0.127	0.1278	0.1177	0.1277	0.0771	0.1105	0.1041	0.1238		0.1092		
LW	Total phosphorus	FI	FISW_404	long	0.094	0.093		0.073			0.093		0.092	0.077	0.077	0.113		0.09	0.076			0.0751	0.0931	0.0733	0.0735	0.076	0.0943	0.0766	0.0784	0.08	0.0648
LW	Total phosphorus	FI	FISW_405	long	0.066	0.062	0.064	0.057	0.055		0.056	0.074	0.053	0.057	0.055	0.052	0.055	0.059	0.054	0.052	0.0534	0.0785	0.0569	0.0573	0.0523	0.0505	0.0523	0.043	0.0545	0.056	0.0445
LW	Total phosphorus	FI	FISW_408	long	0.062	0.061	0.053	0.059	0.053	0.059	0.06	0.061	0.075	0.069	0.065	0.057	0.05	0.071	0.051	0.052	0.0793	0.0664	0.0564	0.0478	0.0694	0.0551	0.096	0.0355	0.0395	0.0375	0.041
LW	Total phosphorus	FI	FISW_409	long	0.128	0.113	0.122	0.108	0.1	0.13	0.089	0.115	0.075	0.103	0.091	0.072	0.085	0.099	0.093	0.103	0.1228	0.1041	0.0912	0.0865	0.09	0.0678	0.0833	0.072	0.068727	0.06725	0.090909
LW	Total phosphorus	FI	FISW_41	long		0.004	0.005	0.007		0.005	0.005		0.008	0.013		0.006	0.009	0.008	0.006	0.007	0.0033			0.0036			0.004			0.0039	
LW	Total phosphorus	FI	FISW_410	long	0.013	0.014	0.015	0.014	0.015	0.012	0.013	0.011	0.012		0.012	0.011	0.012		0.012	0.012	0.0113	0.0109	0.0103	0.0118	0.0125	0.0101	0.0145	0.013333			
LW	Total phosphorus	FI	FISW_412	long		0.008		0.009	0.008	0.007			0.008			0.007		0.008		0.008	0.0073	0.0068	0.0073	0.0062	0.0069	0.0065	0.0077	0.0076	0.008543	0.008	0.009257
LW	Total phosphorus	FI	FISW_420	long	0.014	0.013	0.012	0.014	0.014		0.014	0.012	0.012	0.011	0.011	0.01	0.011	0.015		0.012	0.0154	0.0138	0.0116	0.0117	0.0145	0.0118	0.0148	0.010667	0.0124	0.011167	0.0111
LW	Total phosphorus	FI	FISW_424	long		0.007	0.009	0.008	0.008	0.008	0.009		0.008	0.008	0.007	0.007	0.007	0.007			0.0063			0.0062			0.0055			0.006933	
LW	Total phosphorus	FI	FISW_425	long			0.005	0.005	0.005		0.004			0.004		0.004	0.003	0.004		0.005	0.004	0.0032	0.0041	0.0035	0.003		0.0038	0.005		0.003733	
LW	Total phosphorus	FI	FISW_4278	long	0.027	0.025	0.034	0.031	0.024	0.025	0.022	0.023	0.023	0.024	0.033	0.036	0.021	0.021	0.0257	0.0267	0.0251	0.0239	0.0207	0.0222	0.0204	0.020941	0.017989	0.015533	0.015583	0.019611	0.018471
LW	Total phosphorus	FI	FISW_4280	long	0.031	0.024	0.037	0.031	0.026	0.024	0.022	0.022		0.0205	0.028	0.029	0.026	0.027	0.0208	0.0182	0.0169	0.02	0.0162	0.0153	0.0171	0.018167	0.017184	0.014667	0.014058	0.01565	0.01635
LW	Total phosphorus	FI	FISW_429	long		0.007	0.007		0.006			0.008	0.007			0.006			0.008	0.01	0.0083	0.0103		0.0055		0.006			0.0069		
LW	Total phosphorus	FI	FISW_430	short			0.005	0.005							0.005		0.004		0.006	0.005	0.0048			0.0045			0.0053			0.005267	0.00535
LW	Total phosphorus	FI	FISW_432	long	0.004	0.004		0.005			0.004	0.004		0.004	0.004	0.004	0.004		0.004		0.0046	0.0037	0.0044	0.0031	0.004	0.0047	0.0047	0.004667	0.003933	0.002833	0.002067
LW	Total phosphorus	FI	FISW_439	short					0.058	0.028			0.036	0.039	0.039	0.033	0.041	0.051	0.04	0.033	0.0339	0.0346	0.0398	0.0488	0.0618	0.0499	0.0389	0.039	0.037	0.037	0.038
